,id_filma,zanr,id_rezisera,id_glumca1,id_glumca2,ocena,mesec_izlaska,br_oskara_rezisera,br_dr_nagrada_rezisera,br_oskara_glumca1,br_dr_nagrada_glumca1,br_oskara_glumca2,br_dr_nagrada_glumca2
1977,tt2265534,"Drama, Romance",nm1225921,nm0068338,nm0336701,5.6,July,0,0,0,15,0,0
1978,tt5912454,"Drama, Romance",nm1411972,nm0243233,nm0005299,7.3,October,0,0,0,8,0,22
1979,tt6450186,"Biography, Drama, Family",nm3401779,nm8722479,nm1630992,7.3,March,0,4,0,0,0,3
1980,tt6533240,"Action, Crime, Drama",nm2006019,nm0147147,nm0001426,5.9,September,0,0,0,3,1,47
1981,tt5834760,"Drama, Fantasy, Horror",nm0077002,nm2086223,nm0005042,5.9,November,0,4,0,0,0,4
1982,tt1975249,"Action, Crime, Drama",nm0053228,nm0000241,nm0281167,6.1,November,0,0,0,2,0,0
1983,tt7525778,"Comedy, Thriller",nm2021516,nm4618729,nm6543093,5.5,August,0,0,0,3,0,0
1984,tt1287468,"Action, Comedy, Family",nm0679031,nm0000541,nm0000563,4.3,July,0,0,2,28,0,4
1985,tt9059704,Comedy,nm1060930,nm0736622,nm3512758,5.7,August,0,2,0,12,0,7
1986,tt4353250,Drama,nm7050300,nm8629338,nm3718007,7.3,June,0,9,0,2,0,2
1987,tt4795124,"Comedy, Drama",nm0547800,nm0220240,nm0000161,6.0,April,0,2,0,7,1,17
1988,tt4281724,"Horror, Thriller",nm2093171,nm3957052,nm5394181,5.6,March,0,2,0,5,0,4
1989,tt1570989,"Comedy, Drama, Romance",nm2501633,nm2501633,nm2419914,6.2,March,0,9,0,9,0,0
1990,tt7133686,"Animation, Action, Adventure",nm2788440,nm1024677,nm2304722,6.6,September,0,0,0,14,0,2
1991,tt3462710,"Drama, Thriller",nm0224145,nm0206257,nm0001337,5.1,April,0,0,0,11,0,10
1992,tt10003008,"Horror, Thriller",nm2002649,nm1405398,nm1555340,5.7,July,0,3,0,4,0,8
1993,tt1226240,"Drama, Music",nm1597629,nm0000450,nm0000686,7.1,November,0,9,1,91,1,24
1994,tt1836944,"Action, Comedy, Crime",nm2030556,nm0000671,nm0519456,6.4,June,0,2,1,31,0,12
1995,tt3296908,"Action, Biography, Thriller",nm1473428,nm0164809,nm0683253,6.4,June,0,0,0,3,1,30
1996,tt11388406,"Drama, Mystery, Thriller",nm1337885,nm1555340,nm0788340,5.9,February,0,0,0,8,0,7
1997,tt6017942,"Action, Drama, Sci-Fi",nm5192757,nm8077090,nm2930503,5.8,August,0,0,0,0,0,7
1998,tt3479316,"Action, Sci-Fi",nm0002814,nm2639722,nm1557329,6.1,March,0,9,0,0,0,0
1999,tt4019560,"Crime, Drama, Mystery",nm1768304,nm1869101,nm0000206,4.3,January,0,0,0,4,0,13
2000,tt1663143,"Adventure, Comedy",nm0777300,nm1842439,nm0424216,5.4,October,0,0,0,3,0,0
2001,tt5566790,"Biography, Comedy",nm0906476,nm3510105,nm3509712,6.8,January,0,4,0,0,0,0
2002,tt1725986,"Comedy, Romance",nm0891114,nm0000112,nm0000161,5.7,October,0,0,0,21,1,17
2003,tt6217608,"Drama, Western",nm2125482,nm8561010,nm4185714,7.4,April,0,40,0,0,0,0
2004,tt9072352,"Drama, Horror, Mystery",nm4013000,nm0627505,nm0607865,5.9,July,0,4,0,3,0,5
2005,tt1922685,"Drama, History, Thriller",nm0733149,nm0000438,nm0011104,5.9,March,0,6,4,28,0,7
2006,tt1841642,"Horror, Mystery, Thriller",nm1949943,nm0004742,nm0342029,5.3,October,0,2,0,18,0,0
2007,tt5466186,"Action, Drama, History",nm0655683,nm9962502,nm8277521,5.8,March,0,53,0,0,0,0
2008,tt2409818,"Crime, Mystery, Thriller",nm1443023,nm2340248,nm0000704,5.2,October,1,21,0,10,0,28
2009,tt6408226,"Drama, Romance",nm2035886,nm0396558,nm4663937,6.4,November,0,6,0,11,0,6
2010,tt1801552,"Biography, Crime, Drama",nm0175305,nm0000237,nm4901642,4.8,June,0,0,2,52,0,0
2011,tt4303340,"Drama, Horror, Thriller",nm0639376,nm2504006,nm0000502,6.2,August,0,20,0,2,0,7
2012,tt6199572,"Biography, Crime, Drama",nm2503633,nm0362766,nm0004802,4.7,May,0,0,1,18,0,3
2013,tt4666726,"Biography, Drama",nm1290515,nm0356017,nm0355910,6.9,October,0,4,0,11,0,12
2014,tt1486193,"Action, Drama, War",nm0001317,nm1670029,nm0004825,5.6,June,0,3,0,2,0,0
2015,tt1999890,"Horror, Thriller",nm0687427,nm6407242,nm4806678,5.5,September,0,0,0,0,0,0
2016,tt10060094,"Adventure, Comedy, Drama",nm0593618,nm1227814,nm3262317,5.5,November,0,9,0,11,0,0
2017,tt3212232,"Action, Thriller",nm0751080,nm0000237,nm0005221,5.4,April,0,2,2,52,0,0
2018,tt3450900,"Drama, Fantasy, Mystery",nm0001814,nm0000190,nm0915208,6.1,August,2,46,1,48,2,59
2019,tt2561546,"Horror, Mystery, Thriller",nm0004234,nm1789970,nm0001021,5.6,October,0,12,0,0,0,4
2020,tt4503598,"Horror, Mystery, Thriller",nm2836676,nm0092961,nm7182217,5.4,March,0,0,0,7,0,0
2021,tt1407061,"Comedy, Romance, Sport",nm1065402,nm0001451,nm0996669,5.9,May,0,0,1,35,1,18
2022,tt1937118,"Comedy, Drama, Romance",nm0458251,nm0244151,nm0851582,7.0,December,0,20,0,5,0,11
2023,tt9252468,"Action, Drama, War",nm1996352,nm1625385,nm6360097,7.2,November,0,0,0,0,0,0
2024,tt6062774,"Adventure, Drama, Mystery",nm1622258,nm9304766,nm11187715,7.0,August,0,24,0,0,0,0
2025,tt2032557,"Drama, Thriller",nm0619762,nm1981893,nm0000630,6.9,May,0,32,0,9,0,14
2026,tt1213012,"Animation, Adventure, Comedy",nm0068034,nm0659363,nm0000207,5.2,September,0,2,0,11,0,20
2027,tt3832914,Drama,nm1731937,nm2068185,nm3956954,6.5,August,0,6,0,0,0,0
2028,tt7167630,"Animation, Action, Adventure",nm0515005,nm0339304,nm1358539,6.7,January,0,0,0,7,0,5
2029,tt2103264,"Drama, History, War",nm0916424,nm0289142,nm0610325,6.5,July,0,5,0,6,0,0
2030,tt3014666,Comedy,nm3401779,nm0237711,nm0000276,5.4,May,0,4,0,0,1,24
2031,tt10183816,"Drama, Mystery, Thriller",nm1212040,nm4729403,nm3693332,5.2,April,0,0,0,0,0,0
2032,tt8201852,"Drama, Horror, Mystery",nm0462895,nm0000102,nm1086543,5.3,June,0,3,0,15,0,7
2033,tt2503154,"Horror, Mystery, Thriller",nm3628670,nm1750524,nm2992079,6.0,March,0,0,0,0,0,0
2034,tt1519461,"Horror, Mystery, Sci-Fi",nm2305431,nm3171620,nm3817161,4.2,May,0,0,0,0,0,0
2035,tt0480239,"Drama, Mystery, Sci-Fi",nm0424035,nm2279940,nm0101198,5.6,April,0,0,0,8,0,0
2036,tt3416536,"Comedy, Crime, Drama",nm6166094,nm3154303,nm2140860,6.4,July,0,0,1,40,0,4
2037,tt2093991,"Comedy, History",nm1637785,nm0788335,nm0000228,6.4,May,0,0,2,34,2,56
2038,tt1712192,"Action, Crime, Drama",nm0239001,nm1569276,nm1812656,6.4,May,0,13,0,10,0,0
2039,tt4565520,"Comedy, Romance",nm0000513,nm4478322,nm1275259,4.8,August,1,41,0,0,0,0
2040,tt3906082,"Biography, Drama, History",nm2223783,nm1102577,nm2525790,6.4,July,0,22,0,11,0,5
2041,tt7312940,"Action, Adventure, Drama",nm4134911,nm5518392,nm0000131,3.8,November,0,0,0,0,0,7
2042,tt1311060,Comedy,nm0955974,nm0004395,nm0420955,5.7,January,0,0,0,2,2,15
2043,tt8372298,"Drama, Mystery, Thriller",nm3275420,nm2247245,nm3271473,6.4,January,0,13,0,4,0,0
2044,tt6722030,Thriller,nm1938064,nm1013003,nm0328709,5.6,May,0,4,0,3,0,0
2045,tt6952960,Drama,nm2528690,nm0350454,nm0305558,6.7,October,0,6,1,21,0,36
2046,tt10065694,"Drama, Horror, Mystery",nm4680113,nm1847117,nm1441925,5.6,September,0,0,0,27,0,0
2047,tt1935897,"Horror, Thriller",nm0451076,nm0000492,nm2254074,4.8,July,0,0,1,26,0,8
2048,tt2465146,"Comedy, Drama, Romance",nm0001661,nm0000140,nm0000473,5.8,September,1,24,2,49,1,33
2049,tt7390588,"Comedy, Horror, Sci-Fi",nm0287082,nm2143282,nm1542397,6.3,October,0,9,1,91,0,0
2050,tt1935194,"Action, Thriller",nm0624423,nm2207222,nm7188414,5.4,August,0,2,0,0,0,0
2051,tt2582500,"Drama, Horror, Mystery",nm1879225,nm0915208,nm6390427,4.8,November,0,0,2,59,0,0
2052,tt3908142,"Comedy, Horror, Romance",nm0082366,nm6231136,nm0661651,6.2,March,0,0,0,0,0,2
2053,tt1049402,"Biography, Drama, Romance",nm0258531,nm0290556,nm0745403,6.7,August,2,23,1,51,0,0
2054,tt9024106,"Biography, Drama",nm0465484,nm5123098,nm5618577,5.8,March,0,0,0,4,0,0
2055,tt8816194,"Comedy, Horror, Mystery",nm0863807,nm0000704,nm0565569,6.0,February,0,3,0,28,0,4
2056,tt1313139,"Comedy, Drama, Romance",nm0267497,nm1015262,nm0491402,5.8,December,0,7,0,4,0,20
2057,tt1523483,"Comedy, Mystery, Romance",nm0000777,nm0215281,nm2247245,5.7,October,0,9,0,6,0,4
